Ja Morant,3-Jun,175,PG,Murray St.,So.,
RJ Barrett,6-Jun,210,SG,Duke,Fr.,
Zion Williamson,6-Jun,280,PF,Duke,Fr.,
Bruno Fernando,10-Jun,245,C,Maryland,So.,
Keldon Johnson,6-Jun,215,SG/SF,Kentucky,Fr.,
Cameron Reddish,7-Jun,215,SG/SF,Duke,Fr.,
Rui Hachimura,8-Jun,235,SF/PF,Gonzaga,Jr.,
Kevin Porter,5-Jun,220,SG/SF,USC,Fr.,
Charles Bassey,10-Jun,245,C,Western Kentucky,Fr.,
Jontay Porter,11-Jun,240,C,Missouri,So.,
Bol Bol,2-Jul,235,C,Oregon,Fr.,
Nickeil Alexander-Walker,5-Jun,205,SG,Virginia Tech,So.,
KZ Okpala,8-Jun,195,SG/SF,Stanford,So.,
Romeo Langford,6-Jun,210,SG,Indiana,Fr.,
Nassir Little,6-Jun,220,SF,North Carolina,Fr.,
Sekou Doumbouya,9-Jun,230,SF/PF,Limoges CSP,2000,
Jalen Smith,10-Jun,215,PF,Maryland,Fr.,
Naz Reid,10-Jun,250,C,LSU,Fr.,
Jaylen Hoard,8-Jun,220,SF/PF,Wake Forest,Fr.,
Darius Garland,2-Jun,175,PG,Vanderbilt,Fr.,
Jarrett Culver,6-Jun,195,SG,Texas Tech,So.,
Daniel Gafford,10-Jun,230,PF/C,Arkansas,So.,
DeAndre Hunter,7-Jun,225,SF/PF,Virginia,So.,
Simi Shittu,10-Jun,240,PF,Vanderbilt,Fr.,
Goga Bitadze,11-Jun,250,C,Mega Bemax,1999,
Jalen McDaniels,10-Jun,195,PF,San Diego St.,So.,
Kris Wilkes,8-Jun,215,SF,UCLA,So.,
Chuma Okeke,8-Jun,235,SF/PF,Auburn,So.,
Tre Jones,2-Jun,185,PG,Duke,Fr.,
Ignas Brazdeikis,7-Jun,225,SF,Michigan,Fr.,
Tyler Bey,7-Jun,215,SF/PF,Colorado,So.,
Austin Wiley,10-Jun,260,C,Auburn,Jr.,
Jaxson Hayes,11-Jun,220,PF/C,Texas,Fr.,
Sagaba Konate,8-Jun,250,PF/C,West Virginia,Jr.,
Oshae Brissett,8-Jun,210,SF,Syracuse,So.,
Devon Dotson,2-Jun,185,PG,Kansas,Fr.,
Quentin Grimes,4-Jun,210,SG,Kansas,Fr.,
D'Marcus Simonds,3-Jun,195,PG/SG,Georgia St.,Jr.,
Aric Holman,10-Jun,225,PF,Mississippi St.,Sr.,
Luguentz Dort,4-Jun,220,SG,Arizona St.,Fr.,
Carsen Edwards,Jun-00,200,PG,Purdue,Jr.,
Coby White,5-Jun,185,PG/SG,North Carolina,Fr.,
James Palmer,6-Jun,210,SG,Nebraska,Sr.,
Moses Brown,1-Jul,245,C,UCLA,Fr.,
Admiral Schofield,5-Jun,240,SF,Tennessee,Sr.,
Udoka Azubuike,11-Jun,280,C,Kansas,Jr.,
TyShon Alexander,4-Jun,200,PG/SG,Creighton,So.,
Eric Paschall,7-Jun,260,SF/PF,Villanova,Sr.,
Killian Tillie,10-Jun,220,PF,Gonzaga,Jr.,
Zach Norvell,5-Jun,205,SG,Gonzaga,So.,
Ty Jerome,5-Jun,200,PG,Virginia,Jr.,
Jaylen Hands,3-Jun,180,PG,UCLA,So.,
PJ Washington,8-Jun,235,PF,Kentucky,So.,
Mustapha Heron,5-Jun,220,SG,St. Johns,Jr.,
Caleb Martin,6-Jun,200,SG/SF,Nevada,Sr.,
Bennie Boatwright,10-Jun,230,PF,USC,Sr.,
Brandon Clarke,8-Jun,215,PF/C,Gonzaga,Jr.,
Shamorie Ponds,1-Jun,175,PG,St. Johns,Jr.,
Filip Petrusev,11-Jun,225,C,Gonzaga,Fr.,
Darius Bazley,9-Jun,200,PF,USA,N/A,
Paul Eboua,7-Jun,210,SF,Stella Azzurra,2000,
Charles Matthews,6-Jun,205,SG,Michigan,Jr.,
Ky Bowman,1-Jun,190,PG,Boston College,Jr.,
Ashton Hagans,3-Jun,190,PG,Kentucky,Fr.,
Biram Faye,9-Jun,225,SF/PF,Gran Canaria,2000,
Robert Franks,7-Jun,240,SF/PF,Washington State,Sr.,
Talen Horton-Tucker,4-Jun,230,SG/SF,Iowa St.,Fr.,
Kerwin Roach,4-Jun,180,PG/SG,Texas,Sr.,
